Clave,Licenciatura,Nombre
DISSOFT ,LIS,Diseno de software
ARQSOFT,LIS,Arquitectura de software
FUDSOFT,LIS,Fundamentos de software
POOSOFT,LIS,Programacion orientada a objetos
ALGEBRA,LIS,Algebra superior
ALGRITH,LIS,Algoritmia
ALGLINE,LIS,Algebra Lineal
STADICS,LIS,Estadistica
